place,website
"Los Angeles, California",lacity.gov
"Chicago, Illinois",chicago.gov
"Miami, Florida",miami.gov
"Houston, Texas",houstontx.gov
"Dallas, Texas",dallascityhall.com
"Philadelphia, Pennsylvania",phila.gov
"Atlanta, Georgia",atlantaga.gov
"Washington, District of Columbia",dc.gov
"Boston, Massachusetts",boston.gov
"Phoenix, Arizona",phoenix.gov
"Detroit, Michigan",detroitmi.gov
"Seattle, Washington",seattle.gov
"San Francisco, California",sf.gov
"San Diego, California",sandiego.gov
"Minneapolis, Minnesota",minneapolismn.gov
"Tampa, Florida",tampa.gov
"Brooklyn, New York",nyc.gov
"Denver, Colorado",denvergov.org
"Riverside, California",riversideca.gov
"Las Vegas, Nevada",lasvegasnevada.gov
"Baltimore, Maryland",baltimorecity.gov
"St. Louis, Missouri",stlouis-mo.gov
"San Antonio, Texas",sa.gov
"Sacramento, California",cityofsacramento.gov
"Austin, Texas",austintexas.gov
"Orlando, Florida",orlando.gov
"San Juan, Puerto Rico",pr.gov
"San Jose, California",sanjoseca.gov
"Indianapolis, Indiana",indy.gov
"Pittsburgh, Pennsylvania",pittsburghpa.gov
"Cincinnati, Ohio",cincinnati-oh.gov
"Manhattan, New York",nyc.gov
"Kansas City, Missouri",kcmo.gov
"Cleveland, Ohio",clevelandohio.gov
"Columbus, Ohio",columbus.gov
"Charlotte, North Carolina",charlottenc.gov
"Virginia Beach, Virginia",virginiabeach.gov
"Jacksonville, Florida",jacksonville.gov
"Milwaukee, Wisconsin",milwaukee.gov
"Providence, Rhode Island",providenceri.gov
"Nashville, Tennessee",nashville.gov
"Salt Lake City, Utah",slc.gov
"Raleigh, North Carolina",raleighnc.gov
"Richmond, Virginia",rva.gov
"Memphis, Tennessee",memphistn.gov
"Oklahoma City, Oklahoma",okc.gov
"Hartford, Connecticut",hartfordct.gov
"Louisville, Kentucky",louisvilleky.gov
"Buffalo, New York",buffalony.gov
"Fort Worth, Texas",fortworthtexas.gov
"Bridgeport, Connecticut",bridgeportct.gov
"New Orleans, Louisiana",nola.gov
"Tucson, Arizona",tucsonaz.gov
"El Paso, Texas",elpasotexas.gov
"Omaha, Nebraska",cityofomaha.org
"McAllen, Texas",mcallen.net
"Birmingham, Alabama",birminghamal.gov
"Tulsa, Oklahoma",cityoftulsa.org
"Charleston, South Carolina",charleston-sc.gov
"Fresno, California",fresno.gov
"Rochester, New York",cityofrochester.gov
"Dayton, Ohio",daytonohio.gov
"Cape Coral, Florida",capecoral.gov
"Provo, Utah",provo.gov
"Colorado Springs, Colorado",coloradosprings.gov
"Mission Viejo, California",cityofmissionviejo.org
"Allentown, Pennsylvania",allentownpa.gov
"Baton Rouge, Louisiana",brla.gov
"Ogden, Utah",ogdencity.gov
"Knoxville, Tennessee",knoxvilletn.gov
"Grand Rapids, Michigan",grandrapidsmi.gov
"Columbia, South Carolina",columbiasc.gov
"Albany, New York",albanyny.gov
"Bakersfield, California",bakersfieldcity.us
"New Haven, Connecticut",newhavenct.gov
"Des Moines, Iowa",dsm.city
"Palm Bay, Florida",palmbayfl.gov
"Akron, Ohio",akronohio.gov
"Concord, California",cityofconcord.org
"Mesa, Arizona",mesaaz.gov
"Wichita, Kansas",wichita.gov
"Harrisburg, Pennsylvania",harrisburgpa.gov
"Staten Island, New York",nyc.gov
"Worcester, Massachusetts",worcesterma.gov
"Port St. Lucie, Florida",cityofpsl.com
"Little Rock, Arkansas",littlerock.gov
"Madison, Wisconsin",cityofmadison.com
"Spokane, Washington",spokanecity.org
"Long Beach, California",longbeach.gov
"Denton, Texas",cityofdenton.com
"Reno, Nevada",reno.gov
"Boise, Idaho",cityofboise.org
"Bonita Springs, Florida",cityofbonitasprings.org
"Kissimmee, Florida",kissimmee.gov
"Augusta, Georgia",augustaga.gov
"Springfield, Massachusetts",springfield-ma.gov
"Oakland, California",oaklandca.gov
"Winston-Salem, North Carolina",cityofws.org
"Stockton, California",stocktonca.gov
"Durham, North Carolina",durhamnc.gov
"Chattanooga, Tennessee",chattanooga.gov
"Greenville, South Carolina",greenvillesc.gov
"Syracuse, New York",syr.gov
"Fayetteville, Arkansas",fayetteville-ar.gov
"Pensacola, Florida",cityofpensacola.com
"Arlington, Texas",arlingtontx.gov
"Aurora, Colorado",auroragov.org
"Scranton, Pennsylvania",scrantonpa.gov
"Oxnard, California",oxnard.gov
"Victorville, California",victorvilleca.gov
"Trenton, New Jersey",trentonnj.org
"Huntsville, Alabama",huntsvilleal.gov
"Modesto, California",modestogov.com
"Honolulu, Hawaii",honolulu.gov
"Greensboro, North Carolina",greensboro-nc.gov
"Fort Wayne, Indiana",cityoffortwayne.org
"Anaheim, California",anaheim.net
"Corpus Christi, Texas",corpuschristitx.gov
"Fort Collins, Colorado",fcgov.com
"Antioch, California",antiochca.gov
"Jackson, Mississippi",jacksonms.gov
"Fayetteville, North Carolina",fayettevillenc.gov
"Myrtle Beach, South Carolina",cityofmyrtlebeach.com
"Henderson, Nevada",cityofhenderson.com
"Mobile, Alabama",cityofmobile.org
"Lexington, Kentucky",lexingtonky.gov
"Lansing, Michigan",lansingmi.gov
"Savannah, Georgia",savannahga.gov
"Youngstown, Ohio",youngstownohio.gov
"Ann Arbor, Michigan",a2gov.org
"Santa Ana, California",santa-ana.org
"Irvine, California",cityofirvine.org
"St. Paul, Minnesota",stpaul.gov
"Poughkeepsie, New York",cityofpoughkeepsie.com
"Newark, New Jersey",newarknj.gov
"Santa Rosa, California",srcity.org
"Concord, North Carolina",concordnc.gov
"Winter Haven, Florida",mywinterhaven.com
"Asheville, North Carolina",ashevillenc.gov
"Canton, Ohio",cantonohio.gov
"Flint, Michigan",cityofflint.com
"Lakeland, Florida",lakelandgov.net
"Jersey City, New Jersey",jerseycitynj.gov
"Anchorage, Alaska",muni.org
"Springfield, Missouri",springfieldmo.gov
"Plano, Texas",plano.gov
"Lubbock, Texas",lubbockcounty.gov
"Davenport, Iowa",davenportiowa.com
"Reading, Pennsylvania",readingpa.gov
"Shreveport, Louisiana",shreveportla.gov
"Chandler, Arizona",chandleraz.gov
"South Bend, Indiana",southbendin.gov
"Wilmington, North Carolina",wilmingtonnc.gov
"Chula Vista, California",chulavistaca.gov
"Rockford, Illinois",rockfordil.gov
"Eugene, Oregon",eugene-or.gov
"Salem, Oregon",cityofsalem.net
"Gilbert, Arizona",gilbertaz.gov
"North Las Vegas, Nevada",cityofnorthlasvegas.com
"Santa Clarita, California",santaclarita.gov
"Peoria, Illinois",peoriagov.org
