place,website,has_civicplus,error
"Los Angeles, California",https://lacity.gov,False,
"Chicago, Illinois",https://chicago.gov,False,
"Miami, Florida",https://miami.gov,False,
"Houston, Texas",https://houstontx.gov,False,
"Dallas, Texas",https://dallascityhall.com,False,
"Philadelphia, Pennsylvania",https://phila.gov,False,
"Atlanta, Georgia",https://atlantaga.gov,False,HTTP 403
"Washington, District of Columbia",https://dc.gov,False,
"Boston, Massachusetts",https://boston.gov,False,
"Phoenix, Arizona",https://phoenix.gov,False,Timeout
"Detroit, Michigan",https://detroitmi.gov,False,Timeout
"Seattle, Washington",https://seattle.gov,False,
"San Francisco, California",https://sf.gov,False,Timeout
"San Diego, California",https://sandiego.gov,False,
"Minneapolis, Minnesota",https://minneapolismn.gov,False,Timeout
"Tampa, Florida",https://tampa.gov,False,
"Brooklyn, New York",https://nyc.gov,False,Timeout
"Denver, Colorado",https://denvergov.org,False,Timeout
"Riverside, California",https://riversideca.gov,False,Timeout
"Las Vegas, Nevada",https://lasvegasnevada.gov,False,Timeout
"Baltimore, Maryland",https://baltimorecity.gov,False,
"St. Louis, Missouri",https://stlouis-mo.gov,False,
"San Antonio, Texas",https://sa.gov,False,
"Sacramento, California",https://cityofsacramento.gov,False,
"Austin, Texas",https://austintexas.gov,False,
"Orlando, Florida",https://orlando.gov,False,
"San Juan, Puerto Rico",https://pr.gov,False,
"San Jose, California",https://sanjoseca.gov,False,HTTP 403
"Indianapolis, Indiana",https://indy.gov,False,
"Pittsburgh, Pennsylvania",https://pittsburghpa.gov,False,
"Cincinnati, Ohio",https://cincinnati-oh.gov,False,
"Manhattan, New York",https://nyc.gov,False,Timeout
"Kansas City, Missouri",https://kcmo.gov,False,HTTP 403
"Cleveland, Ohio",https://clevelandohio.gov,False,
"Columbus, Ohio",https://columbus.gov,False,
"Charlotte, North Carolina",https://charlottenc.gov,False,Timeout
"Virginia Beach, Virginia",https://virginiabeach.gov,False,
"Jacksonville, Florida",https://jacksonville.gov,False,
"Milwaukee, Wisconsin",https://milwaukee.gov,False,HTTP 403
