place,website
"New York, New York",https://www.ny.gov/
"Los Angeles, California",https://lacity.gov/
"Chicago, Illinois",https://www.chicago.gov/
"Miami, Florida",https://www.miami.gov/Home
"Houston, Texas",https://www.houstontx.gov/
"Dallas, Texas",https://www.dallascityhall.com/
"Philadelphia, Pennsylvania",https://www.phila.gov/
"Atlanta, Georgia",https://www.atlantaga.gov/
"Washington, District of Columbia",https://www.dc.gov/
"Boston, Massachusetts",https://www.boston.gov/homepage-bostongov
"Phoenix, Arizona",https://www.phoenix.gov/
"Detroit, Michigan",https://detroitmi.gov/
"Seattle, Washington",https://www.seattle.gov/
"San Francisco, California",https://www.sf.gov/
"San Diego, California",https://www.sandiego.gov/
"Minneapolis, Minnesota",https://www.minneapolismn.gov/
"Tampa, Florida",https://www.tampa.gov/
"Brooklyn, New York",https://www.nyc.gov/
"Denver, Colorado",https://www.denvergov.org/
"Queens, New York",https://www.ny.gov/counties/queens
"Riverside, California",https://riversideca.gov/
"Las Vegas, Nevada",https://www.lasvegasnevada.gov/
"Baltimore, Maryland",https://www.baltimorecity.gov/
"St. Louis, Missouri",https://www.stlouis-mo.gov/
"Portland, Oregon",https://www.oregon.gov/
"San Antonio, Texas",https://www.sa.gov/Home
"Sacramento, California",https://www.cityofsacramento.gov/
"Austin, Texas",https://www.austintexas.gov/
"Orlando, Florida",https://www.orlando.gov/Home
"San Juan, Puerto Rico",https://www.estado.pr.gov/en/home
"San Jose, California",https://www.sanjoseca.gov/
"Indianapolis, Indiana",https://www.indy.gov/
"Pittsburgh, Pennsylvania",https://www.pittsburghpa.gov/Home
"Cincinnati, Ohio",https://www.cincinnati-oh.gov/cityofcincinnati/
"Manhattan, New York",https://www.nyc.gov/
"Kansas City, Missouri",https://www.kcmo.gov/
"Cleveland, Ohio",https://www.clevelandohio.gov/
"Columbus, Ohio",https://www.columbus.gov/Home
"Bronx, New York",https://www.ny.gov/counties/bronx
"Charlotte, North Carolina",https://www.charlottenc.gov/Home
"Virginia Beach, Virginia",https://virginiabeach.gov/
"Jacksonville, Florida",https://www.jacksonville.gov/
"Milwaukee, Wisconsin",https://city.milwaukee.gov/home
"Providence, Rhode Island",https://www.providenceri.gov/
"Nashville, Tennessee",https://www.nashville.gov/
"Salt Lake City, Utah",https://www.slc.gov/
"Raleigh, North Carolina",https://raleighnc.gov/
"Richmond, Virginia",https://www.rva.gov/
"Memphis, Tennessee",https://memphistn.gov/
"Oklahoma City, Oklahoma",https://www.okc.gov/
"Hartford, Connecticut",https://www.hartfordct.gov/Home
"Louisville, Kentucky",https://louisvilleky.gov/
"Buffalo, New York",https://www.buffalony.gov/
"Fort Worth, Texas",https://www.fortworthtexas.gov/Home
"Bridgeport, Connecticut",https://www.bridgeportct.gov/
"New Orleans, Louisiana",https://nola.gov/
"Tucson, Arizona",https://www.tucsonaz.gov/Home
"El Paso, Texas",https://www.elpasotexas.gov/
"Omaha, Nebraska",https://www.cityofomaha.org/
